step,n,BF
1,50,2.4572307242288827
2,100,2.691699745132696
3,150,4.220698505068031
4,200,1.4285370624547997
5,250,0.6358083537184676
6,300,1.2308424030946052
7,350,1.4110955866848178
8,400,1.608336417452103
9,450,2.5273851754391354
10,500,1.9226674701098236
11,550,0.22101401594540962
12,600,0.7834987336798873
13,650,1.492230431804579
14,700,1.1312435149052922
15,750,0.7758751834306666
16,800,0.6170566637513173
17,850,0.08629855926069506
18,900,0.1801276279002635
19,950,0.07346660273894601
20,1000,0.19083515104358217
